,Rewards,Epsilon over episodes,Timesteps per episode,Average score over 100 episodes
769,294.0,0.000993147795920851,294,245.69
770,141.0,0.000993147795920851,141,246.69
771,341.0,0.000993147795920851,341,249.68
772,291.0,0.000993147795920851,291,252.36
773,343.0,0.000993147795920851,343,255.37
774,242.0,0.000993147795920851,242,257.67
775,276.0,0.000993147795920851,276,260.03
776,197.0,0.000993147795920851,197,261.77
777,123.0,0.000993147795920851,123,262.35
778,259.0,0.000993147795920851,259,264.57
779,259.0,0.000993147795920851,259,266.79
780,201.0,0.000993147795920851,201,268.67
781,280.0,0.000993147795920851,280,271.05
782,228.0,0.000993147795920851,228,271.96
783,254.0,0.000993147795920851,254,274.37
784,187.0,0.000993147795920851,187,275.33
785,110.0,0.000993147795920851,110,274.58
786,183.0,0.000993147795920851,183,274.0
787,329.0,0.000993147795920851,329,274.91
788,187.0,0.000993147795920851,187,275.58
789,147.0,0.000993147795920851,147,274.53
790,127.0,0.000993147795920851,127,275.02
791,183.0,0.000993147795920851,183,276.6
792,179.0,0.000993147795920851,179,276.08
793,154.0,0.000993147795920851,154,277.23
794,150.0,0.000993147795920851,150,276.67
795,145.0,0.000993147795920851,145,275.93
796,274.0,0.000993147795920851,274,278.25
797,141.0,0.000993147795920851,141,278.15
798,144.0,0.000993147795920851,144,274.59
799,144.0,0.000993147795920851,144,271.03
