,Rewards,Timesteps per episode,Average score over 100 episodes
784,427.0,427,497.51
785,297.0,297,495.48
786,419.0,419,494.67
787,316.0,316,492.83
788,314.0,314,490.97
789,379.0,379,489.76
790,500.0,500,489.76
791,365.0,365,488.41
792,283.0,283,486.24
793,490.0,490,486.14
794,273.0,273,483.87
795,500.0,500,483.87
796,500.0,500,483.87
797,500.0,500,483.87
798,500.0,500,483.87
799,500.0,500,483.87
